%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1532641402911157491,0,0,0,0,0
1532641402912641339,0,0,0,0,0
1532641402914095186,0,0,0,0,0
1532641402915549735,0,0,0,0,0
1532641402916879757,0,0,0,0,0
1532641402918224428,0,0,2,0,0
1532641402919725484,0,0,0,0,0
1532641402921155137,0,0,0,0,0
1532641402922589133,0,0,0,0,0
1532641402924010507,0,0,0,0,0
1532641402925313100,0,0,0,0,0
1532641402926825627,0,0,0,0,0
1532641402928372097,0,0,0,0,0
1532641402929755159,0,0,0,0,0
1532641402930992666,0,0,0,0,0
1532641402932350872,0,0,0,0,0
1532641402933679225,0,0,0,0,0
1532641402935036461,0,0,0,0,0
1532641402995334080,0,0,0,0,0
1532641402996829624,0,0,0,0,0
1532641402998213405,0,0,0,0,0
1532641402999642349,0,0,0,0,0
1532641403000982136,0,0,0,0,0
1532641403002433533,0,0,0,0,0
1532641403003828489,0,0,0,0,0
1532641403005124906,0,0,0,0,0
1532641403006520287,0,0,0,0,0
1532641403007906896,0,0,0,0,0
1532641403009609307,0,0,0,0,0
1532641403010899860,0,0,1,0,0
1532641403012208465,0,0,0,0,0
1532641403013576643,0,0,0,0,0
1532641403015056704,0,0,0,0,0
1532641403016380477,0,0,0,0,0
1532641403017715548,0,0,0,0,0
1532641403079774135,0,0,0,0,0
1532641403081056621,0,0,0,0,3
1532641403082568752,0,0,0,0,0
1532641403083918000,0,0,0,0,0
1532641403085356659,0,0,0,0,0
1532641403086835798,0,0,0,0,0
1532641403088247411,0,0,0,0,0
1532641403089607024,0,0,0,0,0
1532641403091081736,0,0,0,0,0
1532641403092417113,0,0,0,0,0
1532641403094114191,0,0,0,0,0
1532641403095632734,0,0,0,0,0
1532641403097030137,0,0,0,0,0
1532641403098340706,0,0,0,0,0
1532641403099754296,0,0,0,0,0
1532641403101016914,0,0,1,0,0
1532641403102294141,0,0,0,0,0
1532641403103657162,0,0,0,0,0
1532641403164013639,0,0,0,0,0
1532641403165416866,0,0,0,0,0
1532641403166695234,0,0,0,0,0
1532641403168178420,0,0,0,0,0
1532641403169653177,0,0,0,0,0
1532641403171355961,0,0,0,0,1
1532641403172531434,0,0,0,0,0
1532641403174014312,0,0,0,0,0
1532641403175423397,0,0,0,0,0
1532641403176765779,0,0,0,0,0
1532641403178151517,0,0,0,0,0
1532641403179649108,0,0,0,0,0
1532641403180919934,0,0,0,0,0
1532641403182414243,0,0,0,1,0
