%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1532640896426014700,0,0,0,0,0
1532640896427359107,0,0,0,0,0
1532640896428858374,0,0,0,0,0
1532640896430279777,0,0,0,0,0
1532640896431647747,0,0,0,0,0
1532640896433130056,0,0,0,0,0
1532640896434578411,0,0,0,0,0
1532640896436008022,0,0,0,0,0
1532640896437402842,0,0,0,0,0
1532640896438852931,0,0,0,0,0
1532640896440146061,0,0,0,0,0
1532640896441677257,0,0,0,0,0
1532640896443236388,0,0,0,0,0
1532640896444599402,0,0,0,0,0
1532640896445970015,0,0,0,0,0
1532640896447354708,0,0,0,0,0
1532640896448850164,0,0,0,0,0
1532640896509268896,0,0,0,0,0
1532640896510671526,0,0,0,0,0
1532640896511914966,0,0,0,0,0
1532640896513361460,0,0,0,0,0
1532640896515086634,0,0,0,0,0
1532640896516393813,0,0,0,0,0
1532640896517784621,0,0,0,0,0
1532640896519078122,0,0,0,0,0
1532640896520385967,0,0,0,0,0
1532640896522067290,0,0,0,0,0
1532640896523448933,0,0,0,0,0
1532640896524782027,0,0,0,0,0
1532640896526304090,0,0,0,0,0
1532640896527550064,0,0,0,0,0
1532640896528865238,0,0,0,0,0
1532640896530200998,0,0,0,0,0
1532640896531553145,0,0,0,0,0
1532640896532901812,0,0,0,0,0
1532640896593650879,0,0,0,0,0
1532640896595052497,0,0,0,0,0
1532640896596421552,0,0,0,0,0
1532640896597845705,0,0,0,0,0
1532640896599161545,0,0,0,0,0
1532640896600645516,0,0,0,0,0
1532640896601957367,0,0,0,0,0
1532640896603452177,0,0,0,0,0
1532640896604859608,0,0,0,0,0
1532640896606254243,0,0,0,0,0
1532640896607585455,0,0,0,0,0
1532640896608854779,0,0,0,0,0
1532640896610279840,0,0,0,0,0
1532640896611626161,0,0,0,0,0
1532640896613038565,0,0,0,0,0
1532640896614411542,0,0,0,0,0
1532640896615737693,0,0,0,0,0
1532640896617074308,0,0,0,0,0
1532640896677912222,0,0,0,0,0
1532640896679277922,0,0,0,0,0
1532640896680698864,0,0,0,0,0
1532640896682018349,0,0,0,0,0
1532640896683463618,0,0,0,0,0
1532640896684846000,0,0,0,0,0
1532640896686196303,0,0,0,3,0
1532640896687561334,0,0,0,0,0
1532640896688988397,0,0,0,0,0
1532640896690477378,0,0,0,0,0
1532640896691862429,0,0,0,0,0
1532640896693403505,0,0,0,0,0
1532640896694676765,0,0,0,0,0
1532640896696167007,0,0,0,0,0
1532640896697521231,0,0,0,0,0
1532640896698967774,0,0,0,0,0
1532640896700238997,0,0,0,0,0
1532640896762286829,0,0,0,0,0
1532640896763642328,0,0,0,0,0
1532640896764952218,0,0,0,0,0
1532640896766290389,0,0,0,0,0
1532640896767659228,0,0,0,0,0
1532640896769122529,0,0,0,0,0
1532640896770548222,0,0,0,0,0
1532640896771979095,0,0,0,0,0
1532640896773450176,0,0,0,0,0
1532640896774905966,0,0,0,0,0
1532640896776389164,0,0,0,0,0
1532640896778089991,0,0,0,0,0
1532640896779532399,0,0,0,0,0
1532640896781116764,0,0,0,0,0
1532640896782517696,0,0,0,0,0
1532640896783977458,0,0,0,0,0
1532640896785317553,0,0,0,0,0
1532640896786707195,0,0,0,0,0
1532640896846460257,0,0,0,0,0
1532640896847881813,0,0,0,0,0
1532640896849294390,0,0,0,0,0
1532640896850695592,0,0,0,0,0
1532640896852131023,0,0,0,0,0
1532640896853589013,0,0,0,0,0
1532640896854979183,0,0,0,0,0
1532640896856453720,0,0,0,0,0
1532640896857800873,0,0,0,0,0
1532640896859208988,0,0,0,0,0
1532640896860583815,0,0,0,0,0
1532640896861848313,0,4,0,0,0
1532640896863148147,0,0,0,0,0
1532640896864427389,0,0,0,0,0
1532640896865719387,0,0,0,0,0
1532640896867012621,0,0,0,0,0
1532640896868286477,0,0,0,0,0
1532640896869694201,0,0,0,0,0
1532640896930712622,0,0,0,0,0
1532640896932172080,0,0,0,0,0
1532640896933617389,0,0,0,0,0
1532640896935015266,0,0,0,0,0
1532640896936429256,0,0,0,0,0
1532640896937790566,0,0,0,0,0
1532640896939228383,0,0,0,0,0
1532640896940628410,0,0,0,0,0
1532640896941986006,0,0,0,0,0
1532640896943385207,0,0,0,0,0
1532640896944829277,0,0,0,0,0
1532640896946309755,0,0,0,0,0
1532640896947759694,0,2,0,0,0
1532640896949094499,0,0,0,0,0
1532640896950442066,0,0,0,0,0
1532640896951774281,0,0,0,0,0
1532640896953148420,0,0,0,0,0
1532640896954592317,0,0,0,0,0
1532640897015904789,0,0,0,0,0
1532640897017238961,0,0,0,0,0
1532640897018689534,0,0,0,3,0
1532640897020039459,0,0,0,0,0
1532640897021516862,0,0,0,0,0
1532640897022991321,0,0,0,0,0
1532640897024458583,0,0,0,0,0
1532640897025898615,0,0,0,0,0
1532640897027390633,0,0,0,0,0
1532640897028883684,0,0,0,0,0
1532640897030370117,0,0,0,0,0
1532640897031842419,0,0,0,0,0
1532640897033250567,0,0,0,0,0
1532640897034624219,0,0,0,0,0
1532640897036122003,0,0,0,0,0
1532640897037621776,0,0,0,0,0
1532640897039124644,0,0,0,0,0
1532640897099382687,0,0,0,0,0
1532640897100767118,0,0,0,0,0
1532640897102063016,0,0,0,0,0
1532640897103507308,0,0,0,0,0
1532640897104979113,0,0,0,0,0
1532640897106456935,0,0,0,0,0
1532640897107941386,0,0,0,0,0
1532640897109244433,0,0,0,0,0
1532640897110701856,0,0,0,0,0
1532640897112207711,0,0,0,0,0
1532640897113589486,0,0,0,0,0
1532640897114917229,0,0,0,0,0
1532640897116204302,0,0,0,0,0
1532640897117595496,0,0,0,0,0
1532640897118935148,0,0,0,0,0
1532640897120281587,0,0,0,0,0
1532640897121581387,0,0,0,0,0
1532640897122937638,0,0,0,0,0
1532640897183556340,0,0,0,0,0
1532640897185062434,0,0,0,0,0
1532640897186464479,0,0,0,0,0
1532640897187878878,0,0,0,0,0
1532640897189265407,0,0,0,0,0
1532640897190592238,0,0,0,0,0
1532640897192127426,0,0,0,0,0
1532640897193554568,0,0,0,0,0
1532640897194952014,0,0,0,0,0
1532640897196411322,0,0,0,0,0
1532640897197771344,0,0,0,0,0
1532640897199075889,0,0,0,0,0
1532640897200514397,0,0,0,0,0
1532640897201866121,0,0,0,0,0
1532640897203196246,0,0,0,0,0
1532640897204539290,0,0,0,0,0
1532640897205920958,0,0,0,0,0
1532640897207225368,0,0,0,0,0
1532640897268050302,0,0,0,0,0
1532640897269468781,0,0,0,0,0
1532640897270854431,0,0,0,0,0
1532640897272375216,0,0,0,0,0
1532640897273672690,0,0,0,0,0
1532640897275089106,0,0,0,0,0
1532640897276276459,0,0,0,0,5
1532640897277625543,0,0,0,0,0
1532640897278971081,0,0,0,0,0
1532640897280296806,0,0,0,0,0
1532640897281560039,0,0,0,0,0
1532640897282840199,0,0,0,0,0
1532640897284195984,0,0,0,0,0
1532640897285577439,0,0,0,0,0
1532640897286835836,0,0,0,0,0
1532640897288139065,0,0,0,0,0
1532640897289505138,0,0,0,0,0
1532640897352225006,0,0,0,0,0
1532640897353654373,0,0,0,0,0
1532640897354990668,0,0,0,0,0
1532640897356442153,0,0,0,0,0
1532640897357823793,0,0,0,0,0
1532640897359340277,0,0,0,0,0
1532640897360703140,0,0,0,0,0
1532640897362134801,0,0,0,0,0
1532640897363605744,0,0,0,0,0
1532640897365064448,0,0,0,0,0
1532640897366503016,0,0,0,0,0
1532640897368024932,0,0,0,0,0
1532640897369416334,0,0,0,0,0
1532640897370728587,0,0,0,0,0
1532640897372069889,0,0,0,0,0
1532640897373489954,0,0,0,0,0
1532640897374875165,0,0,0,0,0
1532640897376238629,0,0,0,0,0
1532640897436532413,0,0,0,0,0
1532640897437957548,0,0,0,0,0
1532640897439281414,0,0,0,0,0
1532640897440668189,0,0,0,0,0
1532640897442070408,0,0,0,0,0
1532640897443558160,0,0,0,0,0
1532640897444944303,0,0,0,0,0
1532640897446556589,0,6,12,0,0
1532640897447939805,0,5,6,0,0
1532640897449326880,0,2,0,0,0
1532640897450731019,0,5,5,0,75
1532640897452189460,0,11,10,0,156
1532640897453611854,0,17,17,0,296
1532640897454955176,0,25,25,38,407
1532640897456314963,0,34,34,87,502
1532640897457663158,0,40,38,140,538
1532640897458961194,0,43,46,202,566
1532640897460287831,0,55,56,247,607
1532640897520773986,0,89,90,281,636
1532640897522194501,0,178,182,339,666
1532640897523572516,0,255,258,390,689
1532640897524986752,0,326,326,424,704
1532640897526415554,0,379,383,464,721
1532640897527853664,0,427,428,491,734
1532640897529164263,0,456,458,526,752
1532640897530500655,0,479,479,554,765
1532640897531861155,0,488,488,589,778
1532640897533145162,0,507,508,612,785
1532640897534488003,0,526,527,638,796
1532640897535803041,0,545,545,653,806
1532640897537227416,0,572,574,670,818
1532640897538641103,0,593,594,695,826
1532640897539984188,0,616,616,709,833
1532640897541468859,0,637,637,721,840
1532640897542933461,0,658,658,735,844
1532640897544397699,0,672,672,740,850
1532640897605753844,0,687,688,747,854
1532640897607157501,0,700,701,757,860
1532640897608491605,0,712,712,765,865
1532640897609814201,0,723,722,773,869
1532640897611245155,0,731,731,780,873
1532640897612597968,0,739,739,787,876
1532640897614035256,0,745,744,791,879
1532640897615434048,0,749,749,797,883
1532640897616780585,0,753,753,799,887
1532640897618264024,0,759,758,801,890
1532640897619846716,0,763,764,805,893
1532640897621458297,0,770,770,808,896
1532640897622925663,0,781,780,814,899
1532640897624269389,0,789,789,820,902
1532640897625643990,0,798,799,829,904
1532640897627112917,0,803,805,833,906
1532640897628544119,0,811,811,836,908
1532640897689506124,0,817,817,836,907
1532640897690934890,0,823,823,840,912
1532640897692197502,0,829,828,844,913
1532640897693812438,0,833,833,849,916
1532640897695288994,0,838,839,853,917
1532640897696639633,0,842,843,857,920
1532640897697950044,0,844,844,862,920
1532640897699280568,0,847,847,866,924
1532640897700666889,0,849,850,868,927
1532640897702107066,0,852,852,872,929
1532640897703443022,0,854,855,874,931
1532640897704960515,0,857,857,876,934
1532640897706418389,0,859,859,878,936
1532640897707845727,0,862,862,879,938
1532640897709285731,0,864,864,881,939
1532640897710663756,0,867,867,882,941
1532640897712077850,0,868,869,883,943
1532640897713478435,0,870,871,884,944
1532640897773727716,0,872,872,886,945
1532640897775107975,0,874,874,888,946
1532640897776397753,0,876,876,887,947
1532640897777813555,0,877,877,890,948
1532640897779235887,0,879,878,892,949
1532640897780711451,0,879,880,893,949
1532640897782174151,0,880,880,894,950
1532640897783406105,0,880,880,896,951
1532640897784787769,0,881,881,897,952
1532640897786230331,0,881,881,898,952
1532640897787680746,0,881,881,900,953
1532640897789068854,0,881,881,900,954
1532640897790464614,0,882,882,900,954
1532640897791878311,0,882,883,902,955
1532640897793301124,0,883,884,903,955
1532640897794683123,0,885,885,904,956
1532640897796062015,0,886,886,904,956
1532640897797501734,0,886,886,905,956
1532640897858116020,0,887,887,908,957
1532640897859414888,0,886,886,908,958
1532640897860765995,0,886,886,908,958
1532640897862321358,0,887,886,910,958
1532640897863614871,0,888,888,911,959
1532640897864993264,0,887,888,911,960
